Position,Free Energy
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,-0.5
240,0.0
241,0.0
242,0.0
243,-0.5
244,0.0
245,0.0
246,0.0
247,-0.5
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,-0.5
259,-0.5
260,-0.5
261,0.0
262,-0.5
263,0.0
264,0.0
265,0.0
266,0.0
267,-0.5
268,0.0
269,0.0
270,0.0
271,-0.5
272,0.0
273,0.0
274,-0.5
275,-0.5
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,-0.5
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,-0.5
291,-0.5
292,-0.5
293,-0.5
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,-0.5
301,0.0
302,0.0
303,-0.5
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,-0.5
311,-0.5
312,-0.5
313,0.0
314,-0.5
315,-0.5
316,-0.5
317,0.0
318,-0.5
319,0.0
320,0.0
321,0.0
322,0.0
323,-0.5
324,0.0
325,0.0
326,0.0
327,-0.5
328,0.0
329,-0.5
330,0.0
331,0.0
332,0.0
333,-0.5
334,0.0
335,0.0
336,0.0
337,0.0
338,-0.5
339,0.0
340,0.0
341,-0.5
342,0.0
343,0.0
344,-0.5
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,-0.5
352,0.0
353,-0.5
354,0.0
355,0.0
356,0.0
357,-0.5
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,-0.5
364,0.0
365,-0.5
366,-0.5
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,-0.5
374,0.0
375,0.0
376,-0.5
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,-0.5
387,-0.5
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,-0.5
395,-0.5
396,0.0
397,0.0
398,0.0
399,-0.5
400,0.0
401,0.0
402,0.0
403,0.0
404,-0.5
405,0.0
406,0.0
407,0.0
408,-0.5
409,-0.5
410,0.0
411,-0.5
412,-0.5
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,-0.5
427,0.0
428,0.0
429,-0.5
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,-0.5
440,0.0
441,0.0
442,0.0
443,-0.5
444,0.0
445,0.0
446,-0.5
447,0.0
448,0.0
449,-0.5
450,-0.5
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,-0.5
462,-0.5
463,-0.5
464,0.0
465,-0.5
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,-0.5
473,0.0
474,-0.5
475,-0.5
476,0.0
477,0.0
478,0.0
479,-0.5
480,-0.5
481,0.0
482,0.0
483,-0.5
484,0.0
485,0.0
486,0.0
487,-0.5
488,-0.5
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,-0.5
495,0.0
496,0.0
497,-0.5
498,-0.5
499,0.0
500,0.0
501,-0.5
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,-0.5
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,-0.5
519,0.0
520,0.0
521,0.0
522,-0.5
523,0.0
524,-0.5
525,-0.5
526,0.0
527,0.0
528,0.0
529,0.0
530,-0.5
531,0.0
532,-0.5
533,0.0
534,0.0
535,-0.5
536,-0.5
537,-0.5
538,0.0
539,0.0
540,-0.5
541,0.0
542,0.0
543,0.0
544,-0.5
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,-0.5
551,-0.5
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,-0.5
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,-0.5
570,0.0
571,0.0
572,0.0
573,-0.5
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,-0.5
580,0.0
581,-0.5
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,-0.5
593,0.0
594,0.0
595,-0.5
596,-0.5
597,0.0
598,0.0
599,0.0
600,0.0
601,-0.5
602,0.0
603,0.0
604,-0.5
605,0.0
606,0.0
607,-0.5
608,0.0
609,-0.5
610,0.0
611,-0.5
612,0.0
613,0.0
614,0.0
615,0.0
616,-0.5
617,0.0
618,0.0
619,0.0
620,-0.5
621,-0.5
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,-0.5
629,0.0
630,-0.5
631,-0.5
632,0.0
633,-0.5
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,-0.5
642,0.0
643,0.0
644,-0.5
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,-0.5
651,0.0
652,-0.5
653,0.0
654,0.0
655,0.0
656,-0.5
657,-0.5
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,-0.5
668,-0.5
669,-0.5
670,0.0
671,0.0
672,0.0
673,-0.5
674,0.0
675,-0.5
676,-0.5
677,-0.5
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,-0.5
685,0.0
686,0.0
687,-0.5
688,0.0
689,0.0
690,-0.5
691,0.0
692,0.0
693,-0.5
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,-0.5
705,-0.5
706,0.0
707,0.0
708,-0.5
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,-0.5
717,0.0
718,0.0
719,0.0
720,0.0
721,-0.5
722,0.0
723,0.0
724,0.0
