Position,Free Energy
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,-0.5
239,-0.5
240,0.0
241,0.0
242,-0.5
243,-0.5
244,0.0
245,0.0
246,0.0
247,-0.5
248,-0.5
249,0.0
250,0.0
251,0.0
252,0.0
253,-0.5
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,-0.5
260,0.0
261,0.0
262,-0.5
263,-0.5
264,-0.5
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,-0.5
273,-0.5
274,-0.5
275,0.0
276,0.0
277,-0.5
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,-0.5
292,-0.5
293,0.0
294,0.0
295,-0.5
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,-0.5
303,0.0
304,-0.5
305,-0.5
306,0.0
307,0.0
308,0.0
309,0.0
310,-0.5
311,0.0
312,-0.5
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,-0.5
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,-0.5
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,-0.5
335,-0.5
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,-0.5
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,-0.5
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,-0.5
376,0.0
377,0.0
378,-0.5
379,-0.5
380,0.0
381,0.0
382,0.0
383,0.0
384,-0.5
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,-0.5
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,-0.5
405,0.0
406,0.0
407,-0.5
408,-0.5
409,0.0
410,0.0
411,0.0
412,0.0
413,-0.5
414,0.0
415,0.0
416,0.0
417,-0.5
418,0.0
419,0.0
420,-0.5
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,-0.5
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,-0.5
441,-0.5
442,-0.5
443,0.0
444,0.0
445,-0.5
446,0.0
447,0.0
448,-0.5
449,0.0
450,0.0
451,0.0
452,0.0
453,-0.5
454,0.0
455,0.0
456,0.0
457,-0.5
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,-0.5
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,-0.5
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,-0.5
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,-0.5
502,0.0
503,0.0
504,-0.5
505,0.0
506,-0.5
507,0.0
508,0.0
509,0.0
510,-0.5
511,0.0
512,-0.5
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,-0.5
519,0.0
520,0.0
521,0.0
522,0.0
523,-0.5
524,0.0
525,0.0
526,0.0
527,0.0
528,-0.5
529,-0.5
530,0.0
531,0.0
532,-0.5
533,0.0
534,-0.5
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,-0.5
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,-0.5
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,-0.5
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,-0.5
564,0.0
